Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Duration,Utterance_Length
1,also I was the point person on my companys transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0,0,8,21,1900-01-01 00:16:16.059,1900-01-01 00:16:21.731,5.672,16
2,You mustve had your hands full.,The Interviewer,neutral,neutral,0,1,8,21,1900-01-01 00:16:21.940,1900-01-01 00:16:23.442,1.502,6
3,That I did. That I did.,Chandler,neutral,neutral,0,2,8,21,1900-01-01 00:16:23.442,1900-01-01 00:16:26.389,2.947,6
4,So lets talk a little bit about your duties.,The Interviewer,neutral,neutral,0,3,8,21,1900-01-01 00:16:26.820,1900-01-01 00:16:29.572,2.752,9
5,My duties?  All right.,Chandler,surprise,positive,0,4,8,21,1900-01-01 00:16:34.452,1900-01-01 00:16:40.917,6.465,4
6,"Now youll be heading a whole division, so youll have a lot of duties.",The Interviewer,neutral,neutral,0,5,8,21,1900-01-01 00:16:41.126,1900-01-01 00:16:44.337,3.211,14
8,But therell be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,0,7,8,21,1900-01-01 00:16:48.800,1900-01-01 00:16:54.514,5.714,17
10,We can go into detail,The Interviewer,neutral,neutral,0,9,8,21,1900-01-01 00:17:00.478,1900-01-01 00:17:02.719,2.241,5
11,No dont I beg of you!,Chandler,fear,negative,0,10,8,21,1900-01-01 00:17:02.856,1900-01-01 00:17:04.858,2.002,6
12,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",The Interviewer,neutral,neutral,0,11,8,21,1900-01-01 00:17:05.025,1900-01-01 00:17:13.324,8.299,26
14,Absolutely.  You can relax,The Interviewer,neutral,neutral,0,13,8,21,1900-01-01 00:17:17.579,1900-01-01 00:17:20.707,3.128,4
15,But then who? The waitress I went out with last month?,Joey,surprise,negative,1,0,9,23,1900-01-01 00:36:40.364,1900-01-01 00:36:42.824,2.46,11
16,You know? Forget it!,Rachel,sadness,negative,1,1,9,23,1900-01-01 00:36:44.368,1900-01-01 00:36:46.578,2.21,4
17,"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,negative,1,2,9,23,1900-01-01 00:36:44.368,1900-01-01 00:36:49.122,4.754,8
18,"No, I-I-I-I don't, I actually don't know",Rachel,fear,negative,1,3,9,23,1900-01-01 00:36:49.290,1900-01-01 00:36:51.791,2.501,7
